title,type,country,rating,duration,listed_in,description,description_length,description_word_count,descr_polarity,descr_subjectivity
Oct-01,Movie,Nigeria,0.0,149,"Dramas, International Movies, Thrillers","Against the backdrop of Nigeria's looming independence from Britain, detective Danladi Waziri races to capture a killer terrorizing local women.",144,20,0.0,0.0
Feb-09,TV Show,,0.0,1,"International TV Shows, TV Dramas","As a psychology professor faces Alzheimer's, his daughter and her three close female friends experience romance, marriage, heartbreak and tragedy.",146,20,0.0,0.16666666666666666
22-Jul,Movie,"Norway, Iceland, United States",1.0,144,"Dramas, Thrillers","After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story.",149,24,-0.18333333333333335,0.6833333333333332
15-Aug,Movie,India,0.0,124,"Comedies, Dramas, Independent Movies","On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",152,28,0.17812499999999998,0.525
'89,Movie,United Kingdom,0.0,87,Sports Movies,"Mixing old footage with interviews, this is the story of Arsenal's improbable win versus Liverpool in the final moments of the 1989 championship game.",150,24,0.125,0.5
​​Kuch Bheege Alfaaz,Movie,India,0.0,110,"Dramas, Independent Movies, International Movies","After accidentally connecting over the Internet, two strangers form a tight friendship – not knowing they already share a bond.",127,20,-0.17857142857142858,0.2857142857142857
​Goli Soda 2,Movie,India,0.0,128,"Action & Adventure, Dramas, International Movies","A taxi driver, a gangster and an athlete struggle to better their lives despite obstacles like crooked politicians, evil dons and caste barriers.",145,23,-0.1375,0.4
​Maj Rati ​​Keteki,Movie,India,0.0,117,"Dramas, International Movies","A successful writer returns to the town that launched his career, encountering people who spark nostalgic, often painfully illuminating flashbacks.",147,20,-0.15,0.9500000000000001
​Mayurakshi,Movie,India,0.0,100,"Dramas, International Movies","When a middle-aged divorcee returns to Kolkata to visit his ailing father, long-buried memories resurface, bringing new discoveries with them.",142,20,0.13636363636363635,0.45454545454545453
​SAINT SEIYA: Knights of the Zodiac,TV Show,Japan,0.0,2,"Anime Series, International TV Shows","Seiya and the Knights of the Zodiac rise again to protect the reincarnation of the goddess Athena, but a dark prophecy hangs over them all.",139,25,-0.15,0.4
(T)ERROR,Movie,United States,0.0,84,Documentaries,This real-life look at FBI counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target.,149,22,0.0,0.0
(Un)Well,TV Show,United States,1.0,1,Reality TV,"This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?",148,25,0.06818181818181818,0.45
#Alive,Movie,South Korea,1.0,99,"Horror Movies, International Movies, Thrillers","As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",149,28,-0.3,0.5
#AnneFrank - Parallel Stories,Movie,Italy,0.0,95,"Documentaries, International Movies","Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren.",152,23,0.0,0.25
#blackAF,TV Show,United States,1.0,1,TV Comedies,"Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series.",135,20,0.3,0.0
#cats_the_mewvie,Movie,Canada,0.0,90,"Documentaries, International Movies","This pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers.",149,23,0.0,0.0
#FriendButMarried,Movie,Indonesia,0.0,102,"Dramas, International Movies, Romantic Movies","Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.",152,29,0.3775,0.3725
#FriendButMarried 2,Movie,Indonesia,0.0,104,"Dramas, International Movies, Romantic Movies","As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage.",145,23,0.2866666666666667,0.465
#realityhigh,Movie,United States,0.0,99,Comedies,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",148,26,0.04833333333333333,0.40166666666666667
#Roxy,Movie,Canada,0.0,105,"Comedies, Romantic Movies",A teenage hacker with a huge nose helps a cool kid woo a girl that he’s secretly in love with.,94,20,0.3125,0.5375
#Rucker50,Movie,United States,0.0,56,"Documentaries, Sports Movies",This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players.,149,22,0.0,0.25
#Selfie,Movie,Romania,1.0,125,"Comedies, Dramas, International Movies","Two days before their final exams, three teen girls make a seaside getaway to end their adolescence with a bang.",112,20,0.0,0.5
#Selfie 69,Movie,Romania,1.0,119,"Comedies, Dramas, International Movies","After a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days.",103,19,-0.22499999999999998,0.575
แผนร้ายนายเจ้าเล่ห์,TV Show,,0.0,1,"International TV Shows, Romantic TV Shows, TV Comedies","When two brothers fall for two sisters, they quickly realize the age differences between them are too big to ignore.",116,20,0.16666666666666666,0.3
"¡Ay, mi madre!",Movie,Spain,1.0,81,"Comedies, International Movies","When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance.",151,25,0.13333333333333333,0.8333333333333334
Çarsi Pazar,Movie,Turkey,0.0,97,"Comedies, International Movies",The slacker owner of a public bath house rallies his community to save it when a big developer comes to town to close it down and open a new mall.,146,30,-0.0038383838383838466,0.282020202020202
Ég man þig,Movie,Iceland,1.0,106,"Horror Movies, International Movies","Young urbanites renovating a rundown house, and a psychiatrist grieving his son's disappearance, are connected to a supernatural, decades-old secret.",149,20,-0.04444444444444445,0.5555555555555555
Çok Filim Hareketler Bunlar,Movie,Turkey,1.0,99,"Comedies, International Movies","Vignettes of the summer holidays follow vacationers as they battle mosquitoes, suffer ruined plans and otherwise hit snags in their precious time off.",150,23,0.5,1.0
Òlòtūré,Movie,Nigeria,1.0,107,"Dramas, International Movies","In Lagos, a journalist goes undercover as a prostitute to expose human trafficking. What she finds is a world of exploited women and ruthless violence.",151,25,-0.5,0.55
Æon Flux,Movie,United States,0.0,93,"Action & Adventure, Sci-Fi & Fantasy","Aiming to hasten an uprising, the leader of an underground rebellion dispatches acrobatic assassin Aeon Flux to eliminate the government's top leader.",150,22,0.5,0.5
Şubat,TV Show,Turkey,1.0,1,"Crime TV Shows, International TV Shows, TV Dramas","An orphan subjected to tests that gave him superpowers is rescued and raised on Istanbul's streets, where he falls for a reporter linked to his past.",149,26,-0.25,0.25
1 Chance 2 Dance,Movie,United States,0.0,89,"Dramas, Romantic Movies","When an aspiring dancer is uprooted during her senior year of high school, she finds herself torn between two boys – and with one shot at her dream.",148,28,0.16,0.5399999999999999
1 Mile to You,Movie,United States,0.0,105,"Dramas, Romantic Movies, Sports Movies","After escaping the bus accident that killed his girlfriend, a high school student channels his grief into running, with the help of a new coach.",144,25,-0.17590909090909093,0.29863636363636364
10 Days in Sun City,Movie,"South Africa, Nigeria",0.0,87,"Comedies, International Movies, Romantic Movies","After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa.",152,27,0.275,0.65
10 jours en or,Movie,France,0.0,97,"Comedies, Dramas, International Movies","When a carefree bachelor is unexpectedly left in charge of a young boy, the two embark on a road trip that will change both of their lives.",139,27,0.05,0.2
"10,000 B.C.",Movie,"United States, South Africa",0.0,109,Action & Adventure,Fierce mammoth hunter D'Leh sets out on an impossible journey to rescue the woman he loves from a vicious warlord and save the people of his village.,149,27,-0.8333333333333333,1.0
100 Days My Prince,TV Show,South Korea,0.0,1,"International TV Shows, Romantic TV Shows, TV Dramas","Upon losing his memory, a crown prince encounters a commoner’s life and experiences unforgettable love as the husband to Joseon’s oldest bachelorette.",150,22,0.65,0.8
100 Days Of Solitude,Movie,Spain,1.0,93,"Documentaries, International Movies","Spanish photographer José Díaz spends 100 days living alone on a remote mountain, connecting to nature and documenting the beauty of his surroundings.",150,23,-0.05,0.1
100 Humans,TV Show,United States,0.0,1,"Docuseries, Science & Nature TV","One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human.",147,21,0.19166666666666665,0.22499999999999998
100 Meters,Movie,"Portugal, Spain",1.0,109,"Dramas, International Movies, Sports Movies","A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help.",131,20,0.0,0.0
100 Things to do Before High School,Movie,United States,0.0,44,Movies,"Led by seventh-grader C.J., three students who have been warned about the dangers of high school decide to make the best of their middle-school years.",150,25,0.58,0.41999999999999993
100 Years: One Woman's Fight for Justice,Movie,United States,0.0,75,Documentaries,This documentary chronicles Elouise Cobell's long fight against the U.S. government for the gross mismanagement of mineral-rich Native American land.,149,20,-0.0125,0.1
100% Halal,Movie,Indonesia,0.0,101,"Dramas, International Movies","After high school, a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid.",149,25,0.13,0.47
100% Hotter,TV Show,United Kingdom,0.0,1,"British TV Shows, International TV Shows, Reality TV","A stylist, a hair designer and a makeup artist team up to give Britain's biggest fashion disasters some much-needed makeunders.",127,20,0.0,0.0
1000 Rupee Note,Movie,India,0.0,89,"Dramas, International Movies","After randomly receiving a handsome political bribe, a sweet, poor elderly woman decides to treat herself a shopping spree, which doesn't go smoothly.",150,23,0.05833333333333333,0.5583333333333333
12 ROUND GUN,Movie,United States,1.0,90,"Dramas, Independent Movies, Sports Movies","Dealing with personal demons and the death of his son, a prizefighter attempts a return to the ring by challenging his rival to a 12-round rematch.",147,26,0.25,0.65
12 Years Promise,TV Show,South Korea,0.0,1,"International TV Shows, Korean TV Shows, Romantic TV Shows","A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea.",150,28,0.03393939393939392,0.2309090909090909
13 Cameras,Movie,United States,0.0,90,"Horror Movies, Independent Movies, Thrillers","Young parents-to-be Claire and Ryan move into a suburban rental home, unaware that someone is secretly watching their every move via hidden cameras.",148,23,-0.09333333333333334,0.38666666666666666
13 Reasons Why,TV Show,United States,1.0,4,"Crime TV Shows, TV Dramas, TV Mysteries","After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.",128,21,-0.375,0.375
13 Reasons Why: Beyond the Reasons,TV Show,United States,1.0,3,"Crime TV Shows, Docuseries","Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why.""",142,21,-0.3,0.6
13 Sins,Movie,United States,1.0,93,"Horror Movies, Thrillers","A man agrees to appear on a game show with a $6 million prize. But as the challenges become more extreme, he realizes he's made a grave mistake.",144,28,-0.00833333333333334,0.6333333333333333
13TH,Movie,United States,1.0,101,Documentaries,"In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom.",149,19,0.13333333333333333,0.09999999999999999
13TH: A Conversation with Oprah Winfrey & Ava DuVernay,Movie,,,37,Movies,"Oprah Winfrey sits down with director Ava DuVernay to discuss her Oscar-nominated film, historical cycles of oppression and the broken prison system.",149,22,-0.1851851851851852,0.22962962962962963
14 Blades,Movie,"Hong Kong, China, Singapore",1.0,113,"Action & Adventure, International Movies","In the age of the Ming Dynasty, Quinglong is the best of the Jinyiwei, an elite assassin squad made up of highly trained former street urchins. When evil eunuch Jia unseats the emperor, Quinglong is called to action but is quickly betrayed.",240,42,0.09888888888888887,0.4066666666666667
14 Cameras,Movie,United States,1.0,89,"Horror Movies, Thrillers","Upping the “13 Cameras” ante, this sequel finds a family renting a vacation house that’s been customized to violate their privacy.",130,21,0.0,0.0
14 Minutes from Earth,Movie,United States,1.0,84,Documentaries,A Google executive boldly attempts a death-defying mission to travel to space and free-fall back to Earth without a rocket.,123,20,0.16666666666666666,0.3333333333333333
16 Blocks,Movie,"United States, Germany",0.0,102,Action & Adventure,"Tasked with escorting a prosecution witness to court, an aging cop gears up for the 16-block trek – but they'll be lucky to make it there alive.",144,27,0.21666666666666667,0.6166666666666667
17 Again,Movie,United States,0.0,102,Comedies,"Nearing a midlife crisis, thirty-something Mike wishes for a ""do-over"" – and that's exactly what he gets when he wakes up to find he's 17 again.",144,26,0.25,0.25
18 Presents,Movie,Italy,1.0,114,"Dramas, Independent Movies, International Movies",A pregnant mother with terminal cancer leaves behind 18 sentimental gifts for her unborn daughter to receive every birthday until she reaches womanhood.,152,23,-0.10555555555555557,0.7333333333333334
1898: Our Last Men in the Philippines,Movie,Spain,1.0,130,"Dramas, International Movies","While Spain relinquishes its last colonies, a battle-fatigued outpost engages in a long, brutal and sometimes bizarre clash with Filipino insurgents.",149,21,-0.13125,0.5166666666666667
1BR,Movie,United States,1.0,90,"Horror Movies, Independent Movies, Thrillers","Seeking her independence, a young woman moves to Los Angeles and settles into a cozy apartment complex with a disturbing sense of community.",140,23,-0.22499999999999998,0.5874999999999999
1st Summoning,Movie,United States,1.0,94,"Horror Movies, Independent Movies","Student filmmakers uncover occult rituals tied to an abandoned warehouse, then gradually realize the horror is closer than they think.",134,20,0.0,0.0
2 Alone in Paris,Movie,France,1.0,97,"Comedies, International Movies","A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth.",150,25,0.0,0.06666666666666667
2 States,Movie,India,0.0,143,"Comedies, Dramas, International Movies","Graduate students Krish and Ananya hope to win their parents' approval before they marry, but the two families clash over their cultural differences.",149,23,0.45,0.25
20 Feet From Stardom,Movie,United States,0.0,91,"Documentaries, Music & Musicals","Winner of the 2014 Academy Award for Best Documentary Feature, this film takes a look at the world of backup vocalists and the legends they support.",148,26,0.5,0.15
20 Minutes,TV Show,Turkey,1.0,1,"Crime TV Shows, International TV Shows, TV Dramas","When his wife is convicted of murder, a horrified family man races to prove her innocence while a dogged investigator sets out to uncover the truth.",148,26,0.0,0.0
2015 Dream Concert,Movie,South Korea,0.0,107,"International Movies, Music & Musicals","The world's biggest K-pop festival marked its 21st year in 2015, with groups such as EXO, 4Minute and SHINee electrifying the Seoul World Cup Stadium.",150,25,0.03333333333333333,0.3666666666666667
2036 Origin Unknown,Movie,United Kingdom,0.0,95,Sci-Fi & Fantasy,"Working with an artificial intelligence to investigate the failure of a deadly Mars landing, a mission controller makes an astonishing discovery.",145,21,-0.15416666666666667,0.675
20th Century Women,Movie,United States,1.0,119,"Dramas, Independent Movies","In 1979, single bohemian mom Dorothea, hoping to help her teen son find his place as a man, asks two young women to share their lives with him.",143,28,0.009523809523809526,0.20476190476190478
21 & Over,Movie,United States,1.0,93,Comedies,Jeff's straight-and-narrow life changes abruptly when his buddies take him out for a birthday bash – the night before a crucial med school interview.,149,24,-0.0625,1.0
21 Again,TV Show,United Kingdom,1.0,1,"British TV Shows, Reality TV","In a social experiment, a group of daughters sends their mothers, disguised as 21-year-olds, into the world to experience life as a member of Gen Z.",148,26,0.03333333333333333,0.06666666666666667
21 Sarfarosh: Saragarhi 1897,TV Show,India,0.0,1,"International TV Shows, TV Dramas","In one of history's greatest last stands, a battalion of 21 Sikh soldiers fights to defend their outpost from attack by over 10,000 Afghans.",140,24,0.5,0.5333333333333333
21 Thunder,TV Show,Canada,1.0,1,"Crime TV Shows, International TV Shows, TV Dramas","Players and coaches for a Montreal soccer team chase dreams of stardom while their personal lives erupt with love, fear, passion and violence.",142,23,0.25,0.44999999999999996
2307: Winter's Dream,Movie,United States,1.0,101,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy","In the frozen tundra of a futuristic Arizona where humans have been forced underground, a soldier hunts the bioengineered leader of a rebellion.",144,23,-0.30000000000000004,0.2
24 Hours to Live,Movie,"South Africa, China, United States",1.0,93,Action & Adventure,"Revived by an experimental procedure, a hit man gets to live an extra 24 hours – which he uses to avenge his dead wife and child and redeem himself.",148,29,0.009090909090909087,0.35
25 Kille,Movie,India,0.0,140,"Action & Adventure, Dramas, International Movies","Four brothers learn that they have inherited ancestral land, but must fight to claim it when a greedy feudal lord threatens to take it over.",140,25,0.0,0.0
26 Years,Movie,South Korea,1.0,135,"Dramas, International Movies, Thrillers","Twenty-six years after the 1980 massacre at Gwangju, South Korea, three relatives of the victims come together to avenge the infamous orchestrator.",147,22,-0.5,1.0
"27, el club de los malditos",Movie,Argentina,1.0,82,"Action & Adventure, Comedies, International Movies","After a musician dies under suspicious circumstances, a hard-drinking detective and a music fan investigate why rock stars often die at the age of 27.",150,25,0.0,0.0
27: Gone Too Soon,Movie,United Kingdom,1.0,70,Documentaries,"Explore the circumstances surrounding the tragic deaths at 27 of Jimi Hendrix, Jim Morrison, Brian Jones, Janis Joplin, Kurt Cobain and Amy Winehouse.",150,23,-0.75,0.75
28 Days,Movie,United States,0.0,104,"Comedies, Dramas","After her drunken antics result in property damage, an alcoholic journalist enters rehab – and soon meets a fellow resident who changes her outlook.",148,24,-0.25,0.5
28 Moons,TV Show,South Korea,0.0,1,"International TV Shows, Korean TV Shows, Romantic TV Shows","When her fiancé acts strangely upon receiving a mysterious invitation, a florist sets out to find out the truth behind the tiny scrap of paper.",143,25,-0.1125,0.5874999999999999
3 Days to Kill,Movie,"United States, France, Serbia",0.0,117,Action & Adventure,A terminally ill secret agent accepts a risky mission in exchange for an experimental drug that might save him – if he can survive its side effects.,148,27,-0.26666666666666666,0.7000000000000001
3 Deewarein,Movie,,1.0,121,"Dramas, International Movies, Thrillers","A reporter interviews three convicts on death row for a documentary but as their stories emerge, so do her own true motivations for soliciting them.",148,25,0.31666666666666665,0.5499999999999999
3 Generations,Movie,United States,0.0,92,"Dramas, LGBTQ Movies","When teenage Ray begins transitioning from female to male, his single mom and grandmother must cope with the change while tracking down his father.",147,24,-0.0453968253968254,0.15396825396825395
3 Heroines,Movie,Indonesia,0.0,124,"Dramas, International Movies, Sports Movies",Three Indonesian women break records by becoming the first of their nation to medal in archery at the Seoul Olympics in the summer of 1988.,139,25,0.35,0.5916666666666667
3 Idiots,Movie,India,0.0,164,"Comedies, Dramas, International Movies","While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system.",150,21,0.0,0.65
3 Seconds Divorce,Movie,Canada,0.0,53,"Documentaries, Faith & Spirituality","A Muslim women's activist group in India protests against oral divorces, starting a movement to reclaim their religious and constitutional rights.",146,21,0.0,0.175
3 Türken & ein Baby,Movie,Germany,1.0,93,"Comedies, International Movies",The lives of three dissatisfied brothers running a family bridal shop turn topsy-turvy when one of them has to care for his ex-girlfriend's baby.,145,24,0.0,0.0
30 Days of Luxury,Movie,Egypt,0.0,91,"Comedies, International Movies","With the help of his friends, a man breaks out of prison in hopes of restoring a lively nightclub.",98,19,0.13636363636363635,0.5
30 Minutes or Less,Movie,United States,1.0,83,"Action & Adventure, Comedies",Two crooks planning a bank heist wind up abducting a pizza delivery driver and force him to commit the robbery — with a strict time limit.,138,26,0.0,0.0
300 Miles to Heaven,Movie,"Denmark, France, Poland",0.0,93,"Dramas, International Movies","Hoping to help their dissident parents, two brothers sneak out of Poland and land as refugees in Denmark, where they are prevented from returning home.",151,25,0.0,0.0
365 Days,Movie,Poland,1.0,114,"Dramas, International Movies, Romantic Movies","A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him.",152,28,0.2125,0.325
37 Seconds,Movie,Japan,1.0,116,"Dramas, International Movies","Trapped by society and familial obligations, a young manga artist goes on an unconventional journey for sexual freedom and personal liberation.",143,21,0.1,0.38333333333333336
3Below: Tales of Arcadia,TV Show,United States,0.0,2,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy","After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters.",139,23,0.0,0.0
40 Sticks,Movie,Kenya,0.0,93,"International Movies, Thrillers","When their prison bus crashes in a forest on a rainy night, a group of criminals finds themselves battling wild animals and a mysterious killer.",144,25,0.05,0.7
42 Grams,Movie,United States,1.0,81,Documentaries,"After launching a successful underground restaurant out of their apartment, an ambitious chef and his wife open an all-consuming upscale eatery.",144,21,0.3333333333333333,0.7333333333333334
44 Cats,TV Show,Italy,0.0,2,Kids' TV,"Paw-esome tales abound when singing furry friends Lampo, Milady, Pilou and Meatball band together.",98,14,0.0,0.0
45 rpm,TV Show,Spain,1.0,1,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","In 1960s Madrid, music producer Guillermo Rojas launches a rock 'n' roll label with the help of aspiring singer Robert and clever producer Maribel.",147,24,0.16666666666666666,0.8333333333333334
48 Christmas Wishes,Movie,Canada,0.0,84,"Children & Family Movies, Comedies","When a small town's letters to Santa accidentally go up in smoke, two elves venture out of the North Pole to retrieve every missing wish.",137,25,-0.225,0.225
4L,Movie,Spain,1.0,105,"Comedies, Dramas, Independent Movies","Hoping to reunite with a dying friend, two longtime pals re-create their desert road trip from Spain to Mali, bringing along his estranged daughter.",148,24,0.0,0.0
4th Man Out,Movie,United States,0.0,86,"Comedies, LGBTQ Movies","A young mechanic comes out to his extremely straight best friends. Once they get used to the idea, they're determined to help him find the right guy.",149,27,0.39642857142857146,0.4089285714285714
4th Republic,Movie,Nigeria,1.0,120,"Dramas, International Movies, Thrillers","After the election-night murder of her campaign manager at a polling site, a gubernatorial candidate challenges the corrupt incumbent's victory.",144,20,-0.5,1.0
5 Cowok Jagoan,Movie,,1.0,106,"Action & Adventure, Comedies, International Movies",Yanto asks his friends to help save a girlfriend who was kidnapped by a mobster. Silly slapstick and campy crimefighting ensues.,128,21,-0.5,0.875
5 Flights Up,Movie,United States,0.0,92,"Comedies, Dramas, Independent Movies","A couple finds unexpected drama when, after 40 years of living in the same Brooklyn walk-up, they attempt to sell their apartment and buy a new one.",148,27,0.07878787878787878,0.5265151515151515
5 Star Christmas,Movie,Italy,0.0,96,"Comedies, International Movies","When the Italian prime minister meets his lover and political rival while on an official trip to Budapest during Christmas week, things go topsy-turvy.",151,24,0.0,0.05
5 to 7,Movie,United States,1.0,97,"Comedies, Dramas, Romantic Movies",A young novelist's life is turned upside down when a chance encounter outside a New York hotel leads to an intense affair with a diplomat's wife.,145,26,0.056161616161616155,0.4386868686868687
50 First Dates,Movie,United States,0.0,99,"Comedies, Romantic Movies","After falling for a pretty art teacher who has no short-term memory, a marine veterinarian has to win her over again every single day.",134,24,0.3261904761904762,0.5380952380952381
50/50,Movie,United States,1.0,100,"Comedies, Dramas, Independent Movies",An otherwise healthy twentysomething has a comically early midlife crisis when he gets slapped with a cancer diagnosis and a 50-50 chance of survival.,150,24,0.3,0.4
5CM,Movie,Indonesia,0.0,126,"Dramas, International Movies","Five friends embark on a mission to climb the highest peak in Java, overcoming obstacles on the way and discovering the true meaning of friendship.",147,25,0.15,0.325
5Gang,Movie,Romania,0.0,96,"Comedies, International Movies","To keep the band together, Selly tries to earn money by making an appearance at the birthday party of a mobster's daughter — until he gets kidnapped.",149,27,-0.1,0.4
6 Balloons,Movie,United States,1.0,75,"Dramas, Independent Movies",A loyal sister struggles to stay afloat while driving her heroin-addicted brother to a detox center and looking after his 2-year-old daughter.,142,22,0.07777777777777777,0.3444444444444445
6 Days,Movie,"New Zealand, United Kingdom",1.0,94,"Action & Adventure, Dramas, International Movies","When armed gunmen seize the Iranian Embassy in 1980, a tense six-day standoff ensues while elite British soldiers prepare for a dangerous raid.",143,23,-0.3111111111111111,0.4666666666666666
6 Underground,Movie,United States,1.0,129,"Action & Adventure, Dramas","After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",148,25,-0.29944444444444446,0.5711111111111111
6 Years,Movie,United States,1.0,80,"Dramas, Independent Movies, Romantic Movies","As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.",147,21,0.06666666666666667,0.5083333333333333
6-5=2,Movie,India,1.0,103,"Horror Movies, International Movies, Thrillers","Six friends decide to undertake a grueling mountain trek, only to find that the difficulties in store for them are not merely physical.",135,23,0.0,0.5714285714285714
60 Days In,TV Show,United States,1.0,1,Reality TV,"Recruited by a sheriff, volunteers infiltrate county prisons to expose corruption and crime from within the system in this docuseries.",134,20,0.0,0.0
68 Kill,Movie,United States,1.0,96,"Comedies, Independent Movies, Thrillers",A hapless guy agrees to help his stunning – but psychotic – girlfriend rob her loathsome sugar daddy in a scheme as ill-conceived as it is violent.,147,27,-0.35,1.0
7 (Seven),TV Show,India,0.0,1,TV Shows,"Multiple women report their husbands as missing but when it appears they are looking for the same man, a police officer traces their cryptic connection.",152,25,-0.06666666666666667,0.05833333333333333
7 años,Movie,Spain,1.0,77,"Dramas, International Movies",Loyalties are tested and cruelties revealed when four business partners spend a tense evening debating who will pay for the crime they committed.,145,23,-0.3333333333333333,0.5
7 Days Out,TV Show,United States,0.0,1,Docuseries,"Witness the excitement and drama behind the scenes in the seven days leading up to major live events in the worlds of sports, fashion, space and food.",150,27,-0.06704545454545456,0.5666666666666667
